Y,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,Dallas Mavericks,67,16180,41.7,90.2,.462,15.4,41.6,.369,26.4,48.6,.542,17.9,23.2,.773,10.7,36.5,47.1,24.5,6.3,5.0,12.8,19.1,116.7
2020,Milwaukee Bucks*,65,15650,41.3,86.6,.477,13.0,36.7,.356,28.3,49.9,.567,16.9,22.8,.742,9.0,40.1,49.1,24.6,7.0,5.7,14.1,18.2,112.6
2020,Houston Rockets,64,15435,39.6,87.3,.454,14.8,42.6,.348,24.8,44.7,.554,19.7,25.0,.787,10.0,33.3,43.3,20.7,8.1,5.0,14.1,20.8,113.8
2020,Portland Trail Blazers,66,15890,41.4,90.0,.461,12.4,33.4,.372,29.0,56.5,.513,17.2,21.5,.798,10.0,35.0,45.0,20.0,6.0,6.2,12.9,21.2,112.5
2020,Atlanta Hawks,67,16280,39.0,86.8,.449,11.5,34.6,.333,27.4,52.2,.525,17.7,22.4,.790,9.5,32.0,41.5,23.0,7.5,4.9,15.5,22.2,107.2
2020,New Orleans Pelicans,64,15510,40.6,87.9,.462,13.3,35.9,.372,27.3,52.0,.525,16.1,22.1,.729,10.7,34.1,44.8,25.7,7.2,4.9,15.5,20.0,110.8
2020,Los Angeles Clippers,64,15435,40.7,87.7,.464,11.9,32.4,.366,28.8,55.2,.522,20.3,25.6,.792,10.7,36.2,46.9,23.3,7.0,4.9,14.4,21.6,113.6
2020,Washington Wizards,64,15435,40.6,88.0,.461,11.9,32.0,.372,28.6,56.0,.511,18.9,24.0,.787,9.7,30.6,40.3,24.5,7.8,4.1,13.6,21.8,111.9
2020,Memphis Grizzlies,65,15625,41.5,88.4,.470,10.6,30.2,.352,30.9,58.2,.531,15.7,20.7,.761,10.1,35.2,45.4,26.3,7.8,5.4,14.8,20.2,109.4
2020,Phoenix Suns,65,15675,40.0,86.2,.464,11.0,31.1,.353,29.0,55.1,.527,19.5,23.6,.826,9.6,32.7,42.3,26.7,7.7,3.9,14.8,21.7,110.5
2020,Miami Heat,65,15825,39.8,84.8,.470,13.4,35.0,.383,26.4,49.8,.530,19.6,25.2,.778,8.5,36.2,44.8,26.1,7.4,4.5,15.0,20.5,112.7
2020,Minnesota Timberwolves,64,15560,38.6,87.5,.441,12.7,37.9,.336,25.9,49.6,.521,18.2,24.2,.753,10.1,32.7,42.8,22.7,8.3,5.4,14.6,20.4,108.1
